,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp,Timestamp
0,1,Bitcoin,BTC,bitcoin,10162,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'btc-ecosystem']",21000000.0,19346768.0,19346768.0,False,,1,,,,2023-04-15T09:48:00.000Z,30454.651843029023,17713714923.27219,-15.559,0.15687367,-1.12674114,8.49260077,23.07433373,39.96384276,47.51933281,589199083727.855,46.164,639547688703.61,,2023-04-15T09:48:00.000Z,,,,,,2023-04-15 09:50:58.557411,
1,1027,Ethereum,ETH,ethereum,6729,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,120109686.10816336,120109686.10816336,False,,2,,,,2023-04-15T09:48:00.000Z,2107.04797220804,12017633335.506918,-19.5748,0.54392296,-0.34761744,12.46572204,27.00601681,40.04761022,38.17267892,253076870556.7498,19.8284,253076870556.75,,2023-04-15T09:48:00.000Z,,,,,,2023-04-15 09:50:58.557411,
2,825,Tether,USDT,tether,51276,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,80765305448.28091,83091735571.84532,False,,3,,,,2023-04-15T09:48:00.000Z,1.0007321459504852,33834384524.80148,-11.2102,0.00065301,-0.0052732,0.03258069,-0.19614816,-0.03650811,0.06006339,80824437439.60457,6.3325,83152570849.56,,2023-04-15T09:48:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-04-15 09:50:58.557411,
3,1839,BNB,BNB,bnb,1262,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1']",,155865959.49186018,155865959.49186018,False,,4,,,,2023-04-15T09:48:00.000Z,333.0160788454553,762478007.7142442,-11.7711,0.52068394,-0.05284637,6.62724453,4.23472772,13.88273454,12.9972665,51905870655.46385,4.0669,51905870655.46,,2023-04-15T09:48:00.000Z,,,,,,2023-04-15 09:50:58.557411,
4,3408,USD Coin,USDC,usd-coin,11800,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,31831761945.83679,31831761945.83679,False,,5,,,,2023-04-15T09:48:00.000Z,0.9999644430438034,5309037315.042005,-3.1687,0.01040698,0.00721073,0.00755355,0.05457358,-0.00694741,-0.00367797,31830630105.271618,2.494,31830630105.27,,2023-04-15T09:48:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-04-15 09:50:58.557411,
5,52,XRP,XRP,xrp,932,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,51750810378.0,99988998998.0,False,,6,,,,2023-04-15T09:48:00.000Z,0.5226704019729956,1053587692.7697258,-25.1873,0.24921109,-1.68164437,2.35577079,43.35827743,41.68020153,36.56643034,27048616862.697533,2.1193,52267040197.3,,2023-04-15T09:48:00.000Z,,,,,,2023-04-15 09:50:58.557411,
6,2010,Cardano,ADA,cardano,766,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1']",45000000000.0,34777541113.971,35677745726.912,False,,7,,,,2023-04-15T09:48:00.000Z,0.44839240042888534,577481102.7644364,-17.2349,0.30548279,2.45302605,15.0154001,36.42877691,24.43954186,30.93469918,15593985141.107708,1.2218,20177658019.3,,2023-04-15T09:48:00.000Z,,,,,,2023-04-15 09:50:58.557411,
7,74,Dogecoin,DOGE,dogecoin,684,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,138946096383.7052,138946096383.7052,False,,8,,,,2023-04-15T09:48:00.000Z,0.08966033888123032,741016414.5168711,-32.0106,0.74975071,-0.3915639,7.74640396,26.46820205,9.9372708,7.23617573,12457954087.987099,0.9761,12457954087.99,,2023-04-15T09:48:00.000Z,,,,,,2023-04-15 09:50:58.557411,
8,3890,Polygon,MATIC,polygon,654,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem']",10000000000.0,9219469069.28493,10000000000.0,False,,9,,,,2023-04-15T09:48:00.000Z,1.1605028860443072,403231681.7059245,-19.0839,0.70127109,-1.57083236,3.90033529,1.68307395,-1.35115813,20.75556686,10699220462.701384,0.8383,11605028860.44,,2023-04-15T09:48:00.000Z,,,,,,2023-04-15 09:50:58.557411,
9,5426,Solana,SOL,solana,455,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1']",,391874958.00938195,539312704.8875339,False,,10,,,,2023-04-15T09:48:00.000Z,24.44673050174696,592450710.2042112,-35.3252,0.61455632,-2.52378179,18.57356369,23.83257773,16.38223403,9.09238972,9580061488.838766,0.7506,13184432352.55,,2023-04-15T09:48:00.000Z,,,,,,2023-04-15 09:50:58.557411,
